Date,Open,High,Low,Close,Adj Close,Volume,S&P500,SOX,VIX,KOSPI,kosATR14,kosATR30,kosATR60,kosATR90,kosADX14,kosADX30,kosADX60,kosADX90,log_return,CCI,MA5,MA10,MA20,MA60,MA20_ratio,MA60_ratio,MA20_volume,MA60_volumne,RASD5,RASD10,MACD,CCI14,CCI30,CCI60,ATR14,ATR30,ATR60,ATR90,ub,middle,lb,MTM1,MTM3,MTM6,ROC60,ROC90,WPR14,WPR30,WPR60,WPR90,ADXR14,ADXR30,ADXR60,ADXR90,ADX14,ADX30,ADX60,ADX90
2005-01-04,9000.0,9020.0,8920.0,8940.0,6905.0556640625,14015000,1188.050048828125,410.3599853515625,13.979999542236328,886.9000244140625,13.06439355450936,14.01019899681589,14.778352369428255,15.138675554442017,13.034767398512594,10.965288628560192,8.887345440673368,8.299101089385012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-05,8800.0,8860.0,8730.0,8860.0,6843.26318359375,23365000,1183.739990234375,404.25,14.09000015258789,885.1900024414062,13.11122485335021,14.000526754864733,14.76071369224247,15.122912845373564,12.196622875388538,10.718114948439094,8.835362543953414,8.24251517064523,-0.008989156746757408,,,,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,,,,
2005-01-06,8780.0,8910.0,8700.0,8700.0,6719.68408203125,17150000,1187.8900146484375,402.1400146484375,13.579999923706055,871.280029296875,13.248277953947962,14.034841471759867,14.765201268400409,15.121880127777398,11.689863134689475,10.538942851385674,8.77281237364933,8.185925882919898,-0.018223549668349937,,,,,,,,,,,,,,,,,,,,,,,-160.0,,,,,,,,,,,,,,,,
2005-01-07,8820.0,8830.0,8710.0,8810.0,6804.6455078125,13615000,1186.18994140625,407.55999755859375,13.489999771118164,870.8400268554688,13.17126123904543,13.97268155421162,14.721948646348944,15.089081947972232,11.489366038455305,10.366002854132041,8.67831360945111,8.128961459454741,0.012564400018620758,,,,,,,,,,,,,,,,,,,,,,,110.0,-130.0,,,,,,,,,,,,,,,
2005-01-10,8840.0,8840.0,8750.0,8760.0,6766.0283203125,12505000,1190.25,406.25,13.229999542236328,874.1799926757812,12.861172371245312,13.801259405399357,14.623749787073857,15.019536782881916,11.436369638044347,10.087749511996105,8.57253355592612,8.075725469502839,-0.0056912858161100865,,8814.0,,,,,,,,,,,,,,,,,,,,,-50.0,-100.0,,,,,,,,,,,,,,,
2005-01-11,8760.0,8840.0,8670.0,8840.0,6827.8173828125,27855000,1182.989990234375,396.1900024414063,13.1899995803833,884.2899780273438,12.969660407785826,13.820550921313128,14.619687372002835,15.012430872881145,11.425256582024456,9.890103703783968,8.489791220603113,8.021318902484815,0.009090803203659154,,8794.0,,,,,,,,,,,,,,,,,,,,,80.0,140.0,,,,,,,,,,,,,,,
2005-01-12,8870.0,8880.0,8800.0,8840.0,6827.8173828125,14720000,1187.699951171875,401.8299865722656,12.5600004196167,880.030029296875,12.668966716548892,13.651864181618317,14.522025061310599,14.942958849076563,11.633085704468932,9.791844363759743,8.433164731783696,7.964617302873057,0.0,,8790.0,,,,,,,,,,,,,,,,,,,,,0.0,30.0,-100.0,,,,,,,,,,,,,,
2005-01-13,8840.0,8940.0,8820.0,8880.0,6858.712890625,23695000,1177.449951171875,396.1700134277344,12.84000015258789,885.5399780273438,12.479041220054329,13.53046903441854,14.446824806382505,14.88814830370488,11.428731444517787,9.68989937144212,8.331070310675422,7.905567935652137,0.00451473962699138,,8826.0,,,,,,,,,,,,,,,,,,,,,40.0,120.0,20.0,,,,,,,,,,,,,,
2005-01-14,8800.0,9480.0,8790.0,9430.0,7283.52001953125,71900000,1184.52001953125,403.1400146484375,12.43000030517578,905.0999755859376,13.593396639325002,14.01545396959938,14.674044677773527,15.034724623550867,11.962986096626125,9.834081616972554,8.276546259605436,7.86233254830214,0.060094465656603466,,8950.0,,,,,,,,95.36070917964514,,,,,,,,,,,,,550.0,590.0,730.0,,,,,,,,,,,,,,
2005-01-17,9800.0,9890.0,9650.0,9850.0,7607.91943359375,61795000,,,,923.0800170898438,14.044585035065172,14.211939976602313,14.76131116947209,15.08889472973016,13.078638398675617,10.063940396051684,8.254776774246913,7.834595063416476,0.04357547097388859,,9168.0,8991.0,,,,,,,160.4661294753362,,,,,,,,,,,,,420.0,1010.0,1040.0,,,,,,,,,,,,,,
2005-01-18,9800.0,9810.0,9690.0,9720.0,7507.5107421875,30240000,1195.97998046875,406.5499877929688,12.470000267028807,920.5700073242188,13.524968853710078,13.963873927252031,14.628121958249121,14.996462104911982,14.079711322130086,10.22238084876982,8.271114148361853,7.805875818024404,-0.0132857837560081,,9344.0,9069.0,,,,,,,232.5245836624171,,,,,,,,,,,,,-130.0,840.0,960.0,,,,,,,,,,,,,,
2005-01-19,9720.0,9770.0,9580.0,9600.0,7414.8251953125,22850000,1184.6300048828125,397.8900146484375,13.18000030517578,916.27001953125,13.445330662708466,13.91207926899988,14.591153828606426,14.967724016853934,14.476086936131093,10.267954988543858,8.273921039009979,7.7770400028136795,-0.012422550892099024,,9496.0,9143.0,,,,,,,289.32633724741197,,,,,,,,,,,,,-120.0,170.0,760.0,,,,,,,,,,,,,,
