Date,Open,High,Low,Close,Adj Close,Volume,next_price,next_rtn,log_return,CCI,MA5,MA10,RASD5,RASD10,MACD,ATR,ub,middle,lb,MTM1,MTM3,ROC,WPR,S&P500,SOX,VIX,KOSPI
2006-06-29,24950.0,24950.0,21500.0,22100.0,17216.890625,1540,17138.986328125,-0.11422845691382766,,,,,,,,,,,,,,,,1272.8699951171875,446.1700134277344,13.029999732971191,1263.02001953125
2006-06-30,22000.0,22000.0,20900.0,22000.0,17138.986328125,1030,16983.1796875,0.0,-0.004535144336800845,,,,,,,,,,,-100.0,,,,1270.199951171875,441.7200012207031,13.079999923706055,1295.1500244140625
2006-07-03,21100.0,21800.0,21100.0,21800.0,16983.1796875,340,16983.1796875,0.033175355450236976,-0.009132346604556882,,,,,,,,,,,-200.0,,,,1280.18994140625,446.010009765625,13.050000190734863,1294.6099853515625
2006-07-04,21800.0,21800.0,21800.0,21800.0,16983.1796875,0,15502.9931640625,0.0,0.0,,,,,,,,,,,0.0,-300.0,,,,,,1285.9200439453125
2006-07-21,20050.0,20050.0,19450.0,19900.0,15502.9931640625,1840,14801.8544921875,-0.007481296758104716,-0.09119031145878877,,21520.0,,,,,,,,,-1900.0,-2100.0,,,1240.2900390625,384.8800048828125,17.399999618530273,1271.3299560546875
2006-07-24,19400.0,19950.0,18800.0,19000.0,14801.8544921875,2670,14801.8544921875,-0.020618556701030966,-0.046280636194825156,,20900.0,,,,,,,,,-900.0,-2800.0,,,1260.9100341796875,391.92999267578125,14.979999542236328,1263.3499755859375
2006-07-25,19000.0,19250.0,19000.0,19000.0,14801.8544921875,3670,14801.8544921875,0.0,0.0,,20300.0,,,,,,,,,0.0,-2800.0,,,1268.8800048828125,396.1700134277344,14.850000381469727,1279.77001953125
2006-07-26,19000.0,19000.0,19000.0,19000.0,14801.8544921875,0,15386.1376953125,0.0,0.0,,19740.0,,,,,,,,,0.0,-900.0,,,1268.4000244140625,395.80999755859375,14.619999885559082,1279.0799560546875
2006-07-28,19200.0,19950.0,19200.0,19750.0,15386.1376953125,860,15113.4716796875,0.02864583333333326,0.038714477940143995,,19330.0,,960.1036663244128,,,,,,,750.0,750.0,,,1278.550048828125,412.2099914550781,14.329999923706055,1297.0699462890625
2006-07-31,19750.0,19750.0,19300.0,19400.0,15113.4716796875,1350,15074.521484375,-0.017721518987341756,-0.0178804440899167,,19230.0,20375.0,856.9764697622688,,,,,,,-350.0,400.0,,,1276.6600341796875,412.760009765625,14.949999809265137,1297.8199462890625
2006-08-01,19100.0,19950.0,19000.0,19350.0,15074.521484375,3120,15035.5693359375,0.01308900523560208,-0.002580510517213914,,19300.0,20100.0,669.2231361408591,,,,,,,-50.0,350.0,,,1270.9200439453125,404.5299987792969,15.050000190734863,1287.3599853515625
2006-08-02,19650.0,19700.0,19300.0,19300.0,15035.5693359375,360,14996.6171875,-0.01781170483460559,-0.002587316683927206,,19360.0,19830.0,463.5258505973451,,,,,,,-50.0,-450.0,,,1277.4100341796875,408.760009765625,14.34000015258789,1295.1099853515625
2006-08-03,19300.0,19350.0,19250.0,19250.0,14996.6171875,1140,14996.6171875,-0.002590673575129543,-0.00259402826027731,,19410.0,19575.0,281.48950538559285,,,,,,,-50.0,-150.0,,,1280.27001953125,415.0299987792969,14.460000038146973,1292.050048828125
2006-08-04,19300.0,19400.0,19250.0,19250.0,14996.6171875,1540,15269.28125,-0.002590673575129543,0.0,-51.07682417229203,19310.0,19320.0,211.7634493777802,585.9335578510965,,,,,,0.0,-100.0,,-92.6829268292683,1279.3599853515625,411.0299987792969,14.34000015258789,1304.510009765625
2006-08-07,19500.0,20000.0,19500.0,19600.0,15269.28125,1640,15892.5185546875,0.00512820512820511,0.01801839387035379,-16.22103386809299,19350.0,19290.0,177.3092751969046,517.1428724795867,,685.7142857142857,,,,350.0,300.0,,-75.0,1275.77001953125,408.5299987792969,15.229999542236328,1289.5400390625
2006-08-08,19350.0,21000.0,19350.0,20400.0,15892.5185546875,1320,15736.7080078125,0.054263565891472965,0.040005418634353154,50.622792340582976,19560.0,19430.0,209.0499316158679,439.13653387836337,,754.5918367346939,,,,800.0,1150.0,,-46.666666666666664,1271.47998046875,405.7200012207031,15.229999542236328,1311.0999755859375
2006-08-09,19750.0,20350.0,19750.0,20200.0,15736.7080078125,830,16204.1357421875,0.022784810126582178,-0.00985239439468044,60.198456449833614,19740.0,19550.0,256.9247775316485,360.22531406449673,,747.1209912536443,,,,-200.0,950.0,,-53.333333333333336,1265.949951171875,408.6000061035156,15.199999809265137,1314.9300537109375
