Date,Open,High,Low,Close,Adj Close,Volume,S&P500,SOX,VIX,KOSPI,log_return,CCI,MA5,MA10,MA20,MA60,MA20_ratio,MA60_ratio,MA20_volume,MA60_volumne,RASD5,RASD10,MACD,ATR,ub,middle,lb,MTM1,MTM3,ROC,WPR
2005-01-04,7068.3271484375,7109.1845703125,6913.0693359375,7027.4697265625,6893.21630859375,2256630,1188.050048828125,410.3599853515625,13.979999542236328,886.9000244140625,,,,,,,,,,,,,,,,,,,,,
2005-01-05,6913.0693359375,6978.44091796875,6815.01123046875,6945.7548828125,6813.0625,1773241,1183.739990234375,404.25,14.09000015258789,885.1900024414062,-0.011696058930319789,,,,,,,,,,,,,,,,,-81.71484375,,,
2005-01-06,6978.44091796875,7305.2998046875,6847.697265625,6986.6123046875,6853.14013671875,7480900,1187.8900146484375,402.1400146484375,13.579999923706055,871.280029296875,0.005865235965921257,,,,,,,,,,,,,,,,,40.857421875,,,
2005-01-07,7043.8125,7231.7568359375,7019.29833984375,7223.58544921875,7085.58544921875,4612385,1186.18994140625,407.55999755859375,13.489999771118164,870.8400268554688,0.033355540586322195,,,,,,,,,,,,,,,,,236.97314453125,196.11572265625,,
2005-01-10,7313.4716796875,7599.47314453125,7313.4716796875,7395.18603515625,7253.90771484375,4720077,1190.25,406.25,13.229999542236328,874.1799926757812,0.02347781687140454,,7115.7216796875,,,,,,,,,,,,,,,171.6005859375,449.43115234375,,
2005-01-11,7354.32861328125,7591.3017578125,7272.6142578125,7476.90087890625,7334.0615234375,3491413,1182.989990234375,396.1900024414063,13.1899995803833,884.2899780273438,0.010989139599256004,,7205.60791015625,,,,,,,,,,,,,,,81.71484375,490.28857421875,,
2005-01-12,7517.75830078125,7746.5595703125,7485.072265625,7566.787109375,7422.23095703125,2796312,1187.699951171875,401.8299865722656,12.5600004196167,880.030029296875,0.0119502216402262,,7329.81435546875,,,,,,,,,,,,,,,89.88623046875,343.20166015625,,
2005-01-13,7632.1591796875,7632.1591796875,7403.35791015625,7517.75830078125,7374.13916015625,1623941,1177.449951171875,396.1700134277344,12.84000015258789,885.5399780273438,-0.0065005086847241735,,7436.0435546875,,,,,,,,,,,,,,,-49.02880859375,122.572265625,,
2005-01-14,7444.21484375,7534.1015625,7403.35791015625,7517.75830078125,7374.13916015625,1182160,1184.52001953125,403.1400146484375,12.43000030517578,905.0999755859376,0.0,,7494.878125,,,,,,,,152.91355941455072,,,,,,,0.0,40.857421875,,
2005-01-17,7640.33056640625,8171.4765625,7525.9296875,8171.4765625,8015.36865234375,4417806,,,,923.0800170898438,0.083381608939051,,7650.13623046875,7382.928955078125,,,,,,,171.52522355465146,,,,,,,653.71826171875,604.689453125,,
