term,variable,importances,rank,model
90일,S&P500,0.08896064577012117,1.0,forest
90일,SOX,0.08884163905560356,2.0,forest
90일,MA60,0.06285917354000438,3.0,forest
90일,KOSPI,0.056308958294919505,4.0,forest
90일,VIX,0.051897578516721624,5.0,forest
90일,Close,0.05174146432222415,6.0,forest
90일,ROC,0.047970959379104845,7.0,forest
90일,Adj Close,0.04785840686891664,8.0,forest
90일,Low,0.04645106821238038,9.0,forest
90일,High,0.045269558402284214,10.0,forest
90일,MA5,0.04296648521483924,11.0,forest
90일,lb,0.03737382993862373,12.0,forest
90일,middle,0.03718366428372019,13.0,forest
90일,MA10,0.037155066489855025,14.0,forest
90일,MA20,0.03665873527923443,15.0,forest
90일,ub,0.03395539371159445,16.0,forest
90일,MACD,0.03363272612047427,17.0,forest
90일,ATR,0.03305791533708325,18.0,forest
90일,Open,0.027832015287695924,19.0,forest
90일,RASD10,0.01475821853619365,20.0,forest
90일,WPR,0.013206294544757871,21.0,forest
90일,CCI,0.011648222556348817,22.0,forest
90일,Volume,0.010978827374577706,23.0,forest
90일,RASD5,0.009984786526706951,24.0,forest
90일,MTM3,0.009604294302517559,25.0,forest
90일,log_return,0.007525170293762885,26.0,forest
90일,MTM1,0.0073226863556172025,27.0,forest
90일,next_rtn,0.006996215484116449,28.0,forest
90일,S&P500,293.0,1.0,lgb
90일,MA60,284.0,2.0,lgb
90일,KOSPI,262.0,3.0,lgb
90일,SOX,246.0,4.0,lgb
90일,ROC,227.0,5.0,lgb
90일,VIX,212.0,6.0,lgb
90일,Close,201.0,7.0,lgb
90일,MACD,112.0,8.0,lgb
90일,High,107.0,9.0,lgb
90일,MA5,105.0,10.0,lgb
90일,ATR,93.0,11.0,lgb
90일,Low,86.0,12.0,lgb
90일,Adj Close,79.0,13.0,lgb
90일,lb,77.0,14.0,lgb
90일,ub,75.0,15.0,lgb
90일,MTM3,68.0,16.0,lgb
90일,WPR,65.0,17.0,lgb
90일,Volume,61.0,18.0,lgb
90일,RASD10,52.0,19.0,lgb
90일,MA20,49.0,20.0,lgb
90일,CCI,45.0,21.0,lgb
90일,log_return,42.0,22.0,lgb
90일,RASD5,37.0,23.0,lgb
90일,MA10,34.0,24.5,lgb
90일,MTM1,34.0,24.5,lgb
90일,next_rtn,30.0,26.0,lgb
90일,Open,24.0,27.0,lgb
90일,middle,0.0,28.0,lgb
90일,MA5,0.09101405739784241,1.0,xgb
90일,SOX,0.08023157715797424,2.0,xgb
90일,Low,0.07454927265644073,3.0,xgb
90일,lb,0.07437614351511002,4.0,xgb
90일,Close,0.07389720529317856,5.0,xgb
90일,High,0.06636393815279007,6.0,xgb
90일,S&P500,0.061949893832206726,7.0,xgb
90일,MA60,0.056152354925870895,8.0,xgb
90일,MA20,0.03901653364300728,9.0,xgb
90일,Adj Close,0.03864225745201111,10.0,xgb
90일,KOSPI,0.03799537941813469,11.0,xgb
90일,ROC,0.03508102148771286,12.0,xgb
90일,MA10,0.035037413239479065,13.0,xgb
90일,VIX,0.034045636653900146,14.0,xgb
90일,Volume,0.03307826444506645,15.0,xgb
90일,RASD10,0.02984224073588848,16.0,xgb
90일,MACD,0.02106885053217411,17.0,xgb
90일,ATR,0.018539464101195335,18.0,xgb
90일,log_return,0.014110256917774677,19.0,xgb
90일,CCI,0.013834198005497456,20.0,xgb
90일,MTM1,0.012845346704125404,21.0,xgb
90일,WPR,0.012594513595104218,22.0,xgb
90일,MTM3,0.011186424642801285,23.0,xgb
90일,ub,0.011096412315964699,24.0,xgb
90일,Open,0.010227740742266178,25.0,xgb
90일,next_rtn,0.00732805673032999,26.0,xgb
90일,RASD5,0.005895612761378288,27.0,xgb
90일,middle,0.0,28.0,xgb
90일,MA60,0.19548530007236603,1.0,adaboost
90일,KOSPI,0.12896658934444752,2.0,adaboost
90일,VIX,0.10071095557042159,3.0,adaboost
90일,SOX,0.08712833017303913,4.0,adaboost
90일,S&P500,0.08707769881015995,5.0,adaboost
90일,ROC,0.07125075850967492,6.0,adaboost
90일,Close,0.06644191358698438,7.0,adaboost
90일,MA5,0.04013315639041395,8.0,adaboost
90일,Adj Close,0.0364268623561798,9.0,adaboost
90일,ub,0.030298864104823898,10.0,adaboost
90일,High,0.02765154200694957,11.0,adaboost
90일,ATR,0.0260731618348315,12.0,adaboost
90일,Low,0.025093510227891667,13.0,adaboost
90일,lb,0.01997050864518725,14.0,adaboost
90일,middle,0.01297051324402022,15.0,adaboost
90일,RASD10,0.012661621015129607,16.0,adaboost
90일,MACD,0.010570876927531205,17.0,adaboost
90일,MA20,0.005128761046938719,18.0,adaboost
90일,MA10,0.003180184474852391,19.0,adaboost
90일,Open,0.0030645621041217987,20.0,adaboost
90일,WPR,0.0028659080465240614,21.0,adaboost
90일,MTM3,0.002318900585017091,22.0,adaboost
90일,log_return,0.002077362146484738,23.0,adaboost
90일,CCI,0.0016901577289747801,24.0,adaboost
90일,MTM1,0.0006600910137638482,25.0,adaboost
90일,Volume,0.00010191003327034823,26.0,adaboost
90일,RASD5,0.0,27.5,adaboost
90일,next_rtn,0.0,27.5,adaboost
